building_id,region_slug,lon,lat,height_m,surge_class,surge_ft,flood_active,exposure_score,exposure_category
a191a726-c680-4509-a5f4-1b1edac6b8ac,south-beach-miami,-80.136463,25.776774,6.3,2,1.5,False,0.045,low
c96abcc6-4b61-420c-b547-48dcd1ffe719,south-beach-miami,-80.136463,25.776631,7.9,2,1.5,False,0.045,low
24a6937f-2b38-4157-9b0a-35daa74e2b7b,south-beach-miami,-80.136456,25.776498,6.3,2,1.5,False,0.045,low
0493bd85-adda-42a6-a069-d22b6c933336,south-beach-miami,-80.136449,25.776356,5.8,2,1.5,False,0.045,low
2511bdae-474c-4a97-9f1f-f1865153dca6,south-beach-miami,-80.136631,25.777177,5.2,1,0.5,False,0.015,low
10bcc947-e8ca-443c-bbc8-fa8df2157153,south-beach-miami,-80.136488,25.777329,7.8,1,0.5,False,0.015,low
d6e9e802-7f1f-44a2-a9dd-121c4a0909b5,south-beach-miami,-80.136499,25.777469,8.6,1,0.5,False,0.015,low
4d8f031c-d679-4f34-8c00-934858fa58ce,south-beach-miami,-80.136395,25.777203,6.4,0,0.0,False,0.0,none
6fc85d64-cf4b-4b8d-96a0-f3f89b813185,south-beach-miami,-80.136467,25.776908,7.1,2,1.5,False,0.045,low
cb127f4b-34f4-42b6-8ca8-0d9631088749,south-beach-miami,-80.135846,25.77748,8.6,0,0.0,False,0.0,none
131691f9-7ee2-4432-89c7-ec23fdbf811f,south-beach-miami,-80.135883,25.777618,7.6,0,0.0,False,0.0,none
58aea089-38f1-42da-89f5-67552cf88244,south-beach-miami,-80.135879,25.777762,10.8,0,0.0,False,0.0,none
62ab5b3f-b721-46e0-ad54-a9de0dc32ded,south-beach-miami,-80.135885,25.777892,7.1,0,0.0,False,0.0,none
bed7a5d2-915d-47f8-804c-06f13af3a81f,south-beach-miami,-80.135898,25.778161,6.3,1,0.5,False,0.015,low
e90f5303-7bcb-4d24-b7dd-bfc50165e3c6,south-beach-miami,-80.136531,25.778082,11.6,0,0.0,False,0.0,none
74c1b771-a56e-4741-a38c-234d52dace10,south-beach-miami,-80.136502,25.777881,8.4,0,0.0,False,0.0,none
e35c328c-4ec8-4ab9-8581-dffe1e76238b,south-beach-miami,-80.136499,25.777609,9.6,1,0.5,False,0.015,low
f2310862-3022-453d-982b-cc0eebfd2d4a,south-beach-miami,-80.136491,25.777739,9.6,0,0.0,False,0.0,none
c3b8583d-7428-4a3b-87b2-3f700412e124,south-beach-miami,-80.136945,25.777864,6.4,0,0.0,False,0.0,none
70936e36-2351-4ba2-a601-bb7b66775c96,south-beach-miami,-80.136947,25.777996,4.8,0,0.0,False,0.0,none
63c81a8f-d678-45d4-af65-f13fa05f94a1,south-beach-miami,-80.13694,25.778139,10.4,1,0.5,False,0.015,low
5bd2d419-f44f-413e-b7a3-ba33a928a535,south-beach-miami,-80.13692,25.777593,6.0,0,0.0,False,0.0,none
6ff2b694-aebd-4312-8e27-6ff49ed08694,south-beach-miami,-80.136925,25.777728,12.8,0,0.0,False,0.0,none
0841f006-d697-4eaf-9ad8-4dbd1fe47d31,south-beach-miami,-80.136916,25.777454,7.8,1,0.5,False,0.015,low
c524568e-acff-4a05-9019-8c63aafe0baa,south-beach-miami,-80.136925,25.777308,10.7,0,0.0,False,0.0,none
d9ca5442-3391-4c90-9173-38c606cbcf4f,south-beach-miami,-80.1369,25.776901,6.4,1,0.5,False,0.015,low
cd26de12-4535-4700-9c52-3b792a7e8f92,south-beach-miami,-80.137006,25.777172,5.3,1,0.5,False,0.015,low
7c339989-4874-44a4-b503-b821f2d7cdcb,south-beach-miami,-80.137503,25.776883,7.1,1,0.5,False,0.015,low
09de1f21-8bac-4356-b87e-e8d08f6bbe5f,south-beach-miami,-80.13761,25.777299,11.1,0,0.0,False,0.0,none
78f083c4-f7c3-4305-abf0-448a4ef724b1,south-beach-miami,-80.137588,25.777159,9.1,0,0.0,False,0.0,none
148bf7d1-02f1-4cb3-bd44-47d9ab696893,south-beach-miami,-80.1376,25.777432,6.1,1,0.5,False,0.015,low
ad776e72-6418-4f6e-ac9a-c12c37a35004,south-beach-miami,-80.137571,25.777572,9.3,0,0.0,False,0.0,none
03a72854-eaad-4e78-929c-3f886113886c,south-beach-miami,-80.137571,25.777711,10.1,0,0.0,False,0.0,none
dca2e16f-d626-48a5-abf0-b82b35a35e5c,south-beach-miami,-80.137544,25.77785,10.1,0,0.0,False,0.0,none
c05e9143-0879-4f65-945d-0dc8be21f1db,south-beach-miami,-80.137632,25.777986,10.4,0,0.0,False,0.0,none
83d8c38c-fbc2-4745-b73c-dc63b21d5013,south-beach-miami,-80.137631,25.778122,10.8,1,0.5,False,0.015,low
cc07e422-9f48-4211-9918-fdbeb7988851,south-beach-miami,-80.137746,25.777843,4.4,1,0.5,False,0.015,low
0ee9dc11-22cd-4f18-907d-27b3ef66f721,south-beach-miami,-80.138056,25.777627,6.0,0,0.0,False,0.0,none
c839cb08-a985-486a-8729-769b2f2cefc2,south-beach-miami,-80.138072,25.777979,9.2,0,0.0,False,0.0,none
13f6db1a-d4fe-49ce-9184-d7a2261840a8,south-beach-miami,-80.138048,25.777838,13.3,0,0.0,False,0.0,none
c6038529-ac9f-431d-88da-434066798859,south-beach-miami,-80.138088,25.778109,7.9,0,0.0,False,0.0,none
eee423cc-ad86-4d2c-9ce2-b6ea05bd6830,south-beach-miami,-80.138044,25.776861,7.1,1,0.5,False,0.015,low
9fbe96e8-d5eb-4bd0-b7d2-fcb147c0d4e5,south-beach-miami,-80.138128,25.77715,5.9,1,0.5,False,0.015,low
f44c3e6e-8513-4d7c-9d22-7dc1957c834c,south-beach-miami,-80.138037,25.777288,9.3,1,0.5,False,0.015,low
0abd9734-0e27-4464-9bb7-1444914f8e25,south-beach-miami,-80.138141,25.777435,9.0,0,0.0,False,0.0,none
a99134d0-5040-434f-8a3e-a98eac33a078,south-beach-miami,-80.137921,25.777418,9.7,1,0.5,False,0.015,low
6b4a6a92-76f2-4759-b190-e0a9668bdd4e,south-beach-miami,-80.137945,25.777154,6.0,1,0.5,False,0.015,low
3261c894-4ec3-482a-97a9-77d48290c5b5,south-beach-miami,-80.137694,25.776878,7.2,1,0.5,False,0.015,low
972c687c-336d-4a93-8835-c8159fa86e2c,south-beach-miami,-80.138021,25.776739,6.6,0,0.0,False,0.0,none
b48f9ac6-718a-4011-a6c5-7d4ab5511d6b,south-beach-miami,-80.13809,25.776595,7.9,0,0.0,False,0.0,none
82bdf8f6-88f0-4c92-9af5-c2f3a0f50f18,south-beach-miami,-80.138012,25.776459,6.3,0,0.0,False,0.0,none
7bb17d5b-d527-4d81-b3df-9f4e90e49caf,south-beach-miami,-80.137911,25.7766,7.896625518798828,0,0.0,False,0.0,none
bd545a17-ccdf-4819-b02e-5fdad0944323,south-beach-miami,-80.138005,25.776337,8.9,0,0.0,False,0.0,none
8f9a3a67-3d58-49a0-a3a0-0e53bdf43116,south-beach-miami,-80.138018,25.776183,6.3,0,0.0,False,0.0,none
4f1e233a-1c51-4eb2-9a08-682de3283a0f,south-beach-miami,-80.137988,25.775629,8.9,1,0.5,False,0.015,low
01edf392-1a39-4b3f-bc44-60ea89966359,south-beach-miami,-80.138027,25.77549,8.7,1,0.5,False,0.015,low
8873f3ea-a8dc-4541-83a2-399b6bd0a7ad,south-beach-miami,-80.138064,25.7759,7.7,0,0.0,False,0.0,none
1c9d7b4a-ccde-4e25-89f2-34800ca455ab,south-beach-miami,-80.138079,25.77605,7.7,0,0.0,False,0.0,none
189ff508-5b85-486b-b876-46c175ccda19,south-beach-miami,-80.138553,25.77549,9.0,0,0.0,False,0.0,none
11036f09-bc24-4549-9c6b-54bea60fd197,south-beach-miami,-80.138559,25.775606,8.9,0,0.0,False,0.0,none
b9c24c1a-ee77-435e-a9e2-7b84ee14bd0b,south-beach-miami,-80.138722,25.776584,14.1,0,0.0,False,0.0,none
6ec61186-3155-49f8-8e39-ad4f5b949aeb,south-beach-miami,-80.138728,25.776716,8.0,0,0.0,False,0.0,none
bbb94151-e821-416b-86a3-19b92cb3d6c8,south-beach-miami,-80.138812,25.776302,3.539536476135254,0,0.0,False,0.0,none
f93d1e0e-4cd9-464a-810f-d8f5a8414b83,south-beach-miami,-80.138825,25.776436,4.3,0,0.0,False,0.0,none
2663cf5b-1afa-45a1-9df5-f46860054cfa,south-beach-miami,-80.138628,25.776442,4.5,0,0.0,False,0.0,none
8e68166e-11e4-4910-bbac-da3db6dd106d,south-beach-miami,-80.138612,25.776317,9.9,0,0.0,False,0.0,none
5b5147bf-9148-4164-bc2c-eec404e28744,south-beach-miami,-80.138648,25.776169,8.4,0,0.0,False,0.0,none
7183507a-cb8b-43ec-b1cb-2e60c77a3493,south-beach-miami,-80.138708,25.77604,4.474170684814453,1,0.5,False,0.015,low
4768fc0f-11c7-4e07-a313-99a2d9e0e0eb,south-beach-miami,-80.138705,25.77589,5.4,0,0.0,False,0.0,none
e8e550bf-8445-43a3-9622-140f53891522,south-beach-miami,-80.138621,25.775441,,0,0.0,False,0.0,none
4e2daabb-2687-4499-8854-efbfa1b7eef8,south-beach-miami,-80.138723,25.775579,3.1,1,0.5,False,0.015,low
4f9d30a3-f417-4aa2-9851-9ae9122bcbd1,south-beach-miami,-80.138846,25.775575,8.8,1,0.5,False,0.015,low
4b64d176-9feb-44a9-90dd-8c04234a5629,south-beach-miami,-80.139029,25.77559,2.8068668842315674,1,0.5,False,0.015,low
131ebf79-8634-40fe-a3f2-63a6d6a41e88,south-beach-miami,-80.139069,25.776016,7.4,1,0.5,False,0.015,low
62deb810-8d1c-4764-b7b8-beb44c8c06ee,south-beach-miami,-80.139266,25.776013,7.2,1,0.5,False,0.015,low
976f368c-53bc-48b7-9b14-d897117f7c17,south-beach-miami,-80.139263,25.775881,7.2,1,0.5,False,0.015,low
321ac2f2-9793-4ecc-a9a1-5b5908deb4ff,south-beach-miami,-80.139065,25.775884,7.2,1,0.5,False,0.015,low
64dc67d1-7e1e-42b0-ae14-090b3de39d26,south-beach-miami,-80.139194,25.775463,3.438293933868408,1,0.5,False,0.015,low
9b360e77-9e65-459f-8c55-38433e0b4fd9,south-beach-miami,-80.139358,25.775578,3.539388418197632,1,0.5,False,0.015,low
c25af5cd-3941-415d-a88d-aa389176b11c,south-beach-miami,-80.139312,25.776429,8.1,1,0.5,False,0.015,low
179ba60b-5982-47cd-87d9-ac9173b1e080,south-beach-miami,-80.139196,25.776154,3.7542192935943604,0,0.0,False,0.0,none
310eb2dd-4a19-40c3-9a25-0911a7dda9c8,south-beach-miami,-80.139169,25.776296,3.793290615081787,1,0.5,False,0.015,low
3a394e0f-c3ea-4491-9e63-84e2f7c15721,south-beach-miami,-80.139191,25.776574,5.9,0,0.0,False,0.0,none
8b8ef8f6-0173-4b7d-8e7a-2ede2714c27c,south-beach-miami,-80.139104,25.776713,6.1,0,0.0,False,0.0,none
86ebd29b-a6b3-47a2-9b97-d7a685ad1f26,south-beach-miami,-80.139298,25.77671,6.0,1,0.5,False,0.015,low
78f8a33b-8689-4b03-b681-cdbd5c3a929e,south-beach-miami,-80.139295,25.776841,6.0,1,0.5,False,0.015,low
